"country_name","year","Health_expendGDP","Outpocket_expend","Education_expendGDP","Physicians","Mortality_rate","Literacy_rate","Open_defecation","managed_water","continent"
"India",2006,3.63477802,72.25708008,3.142849922,0.5852,20.3,91.272994995,1,55.75332056,"Asia"
"India",2009,3.48537874,66.75775146,3.278249979,0.622,20.3,91.272994995,1,55.75332056,"Asia"
"India",2010,3.27211905,65.18476868,3.377690077,0.6616,20.3,91.272994995,1,55.75332056,"Asia"
"India",2011,3.24634194,62.22489929,3.79618001,0.7376,20.3,91.272994995,1,55.75332056,"Asia"
"India",2012,3.32935309,63.00013733,3.867500067,0.6982,20.3,91.272994995,1,55.75332056,"Asia"
"India",2013,3.74944162,69.07303619,3.844670057,0.7182,20.3,91.272994995,1,55.75332056,"Asia"
"India",2016,3.51098323,63.20620346,3.450979948,0.759,20.3,91.272994995,1,55.75332056,"Asia"
"Indonesia",2003,2.30133748,44.95776749,3.217999935,0.1339,20.3,91.272994995,1,55.75332056,"Asia"
"Indonesia",2007,2.87617064,48.64442825,3.044250011,0.288,20.3,91.272994995,1,55.75332056,"Asia"
"Indonesia",2009,2.68494344,48.09020615,3.525130033,0.1448,20.3,91.272994995,1,55.75332056,"Asia"
"Indonesia",2010,2.96089983,56.98842239,2.81227994,0.1395,20.3,91.272994995,1,55.75332056,"Asia"
"Indonesia",2012,2.9028666,53.16792297,3.407480001,0.3075,20.3,91.272994995,1,55.75332056,"Asia"
"Indonesia",2013,2.96065068,49.32272339,3.359040022,0.3118,20.3,91.272994995,1,55.75332056,"Asia"
"Indonesia",2015,2.99113512,41.38797379,3.583600044,0.2738,20.3,91.272994995,1,55.75332056,"Asia"
"Indonesia",2017,2.86824059,36.01034546,2.669980049,0.3767,20.3,91.272994995,1,55.75332056,"Asia"
"Indonesia",2018,2.87053037,34.85082245,1,0.4269,20.3,91.272994995,1,55.75332056,"Asia"
"Iraq",2000,4.19000292,47.22499084,3.40350008,1.5829,1,64.16950226,4.725031953,50.24093663,"Asia"
"Iraq",2012,4.19000292,47.22499084,3.40350008,1.5829,32.5,1,1.183884353,55.97190633,"Asia"
"Iraq",2013,4.19000292,47.22499084,3.40350008,1.5829,31.5,63.40000153,0.895616038,56.46053883,"Asia"
"Iraq",2014,4.19000292,47.22499084,3.40350008,1.5829,30.5,74.59999847,0.610295321,56.94658451,"Asia"
"Iraq",2016,4.19000292,47.22499084,3.40350008,1.5829,28.6,76.80000305,0.048493522,57.91293299,"Asia"
"Iraq",2017,4.19000292,47.22499084,3.40350008,1.5829,27.7,79.90000153,0.019919344,58.39519541,"Asia"
"Israel",2000,6.80195379,29.48983002,6.10131979,3.822,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2001,7.22640753,30.33019829,6.362279892,3.8398,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2002,7.1476779,27.84285927,6.451049805,3.851,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2003,7.08944702,28.62854576,6.331369877,3.8513,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2004,7.02626944,28.72549057,5.933420181,3.8126,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2005,7.12387037,30.24324989,5.754449844,3.754,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2006,6.91167355,25.72410393,5.755889893,3.6935,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2007,6.88591146,26.66324425,5.498829842,3.6293,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2008,6.96814823,25.34703064,5.529459953,3.5637,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2009,7.06644821,25.41890717,5.493720055,3.543,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2010,7.01676989,23.8116951,5.535250187,3.5191,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2011,6.97842979,23.75934219,5.576580048,3.5177,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2012,7.11489153,23.40835571,5.699969769,3.5075,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2013,7.0793376,22.65417099,5.883749962,3.4866,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2014,7.15390539,23.01003265,5.783510208,3.4669,20.3,91.272994995,1,55.75332056,"Asia"
"Israel",2015,7.10652399,22.50102615,5.861249924,3.4618,20.3,91.272994995,1,55.75332056,"Asia"
